,sex,rating,product,review,review_date,reviewer_id,clean_text,review_month,review_length
278,f,0,camera,"fotoğraf makinası almak için gittim. Sony marka alacakken satış elamanın yönlendirmesi ve anlattığı özellikleri yüzünden Nikon collpıx 300 20.1 makinayı aldım. Yılbaşı gecesi çekim yaptım 50-60 poz çekince pil bitti. Ertesi gün yine şarj edip deneme çekimi yaptım yine aynı poz çekimi ile pili bitti. Önceki makinam 2007'de aldığım panasonik 110-120 poz çekiyordu. Bu 2017 model 50-60 çekince moralim bozuldu. Çekimler de pek parlak değildi. gidip satış elamanınız beni yanılttı, pil erken bitiyor maldan memnun değilim dedim. Satış elamanın çağırdılar yüzleştik. Elaman gak dedi guk dedi ben sadece sıze bilgi verdim dedi. Sonuçta iade yapamayız Nikon şirkete yollarız dediler yolladılar. sonra çağırdılar cihazda bir şey yokmuş diye tekrar makinayı bana verdiler. Ben satış elamanının yanlış yönlendirmesi sonucu aldığım makinadan hiç memnun değilim. İade talep ediyorum.",2017-02-05,41245,makinas almak gittim sony marka alacakken sat elamann yonlendirmesi anlattg ozellikleri yuzunden nikon collpx makinay aldm ylbas gecesi cekim yaptm poz cekince pil bitti ertesi gun yine sarj edip deneme cekimi yaptm yine ayn poz cekimi pili bitti onceki makinam aldgm panasonik poz cekiyordu model cekince moralim bozuldu cekimler pek parlak degildi gidip sat elamannz beni yanltt pil erken bitiyor maldan memnun degilim dedim sat elamann cagrdlar yuzlestik elaman gak dedi guk dedi ben sadece sze bilgi verdim dedi sonucta iade yapamayz nikon sirkete yollarz dediler yolladlar sonra cagrdlar cihazda sey yokmus tekrar makinay bana verdiler ben sat elamannn yanls yonlendirmesi sonucu aldgm makinadan hic memnun degilim iade talep ediyorum,Feb,140
279,m,1,service,Yemek ucuz ve cok güze leziz,2017-07-25,114007,yemek ucuz guze leziz,Jul,6
281,f,1,studio,Güzel çekim,2017-10-03,105120,guzel cekim,Oct,2
282,f,1,service,Harika hizmet veriyorlar teşekkürler.,2017-11-26,97024,harika veriyorlar tesekkurler,Nov,5
284,f,1,passport,arkadaşım için vesikalık çektirmeye gitmiştik o kadar beğendim ki haftaya kesinlikle bende gideceğim standart çirkin vesikalıklardan çok uzak harika ve ömürlük diyebilirim :),2017-04-04,96421,arkadasm vesikalk cektirmeye gitmistik kadar begendim haftaya kesinlikle bende gidecegim standart cirkin vesikalklardan uzak harika omurluk diyebilirim,Apr,24
285,m,0,service,Gerçekten fiyat ve kalite hiç uyuşmuyor fotograflarda suratiniz silik . Fotoğraf çekim açıları çok kötü ve bir sürü hata var çalışanlar çok lağbalı rahatsız edici bir şekilde beğendiğine bile karisiliyor. Cok saçma fotoğraf kategorileri var aynı fotoğraftan 2 tane basıyorlar birinin farklı olmasını kabul etmiyorlar gerçekten çok saçma,2017-12-01,99585,gercekten fiyat kalite hic uyusmuyor fotograflarda suratiniz silik cekim aclar kotu suru hata var calsanlar lagbal rahatsz edici sekilde begendigine bile karisiliyor sacma kategorileri var ayn fotograftan tane basyorlar birinin farkl olmasn kabul etmiyorlar gercekten sacma,Dec,49
286,m,1,self-taken,"Amatör fotoğraf tabı için albüm veriyorlar, çok hoşuma gidiyor. Hem de fotoğraflar kaybolmuyor",2017-02-09,44018,amator tab album veriyorlar hosuma gidiyor kaybolmuyor,Feb,15
287,m,1,facility,"Bir süredir gitmiyordum, çok şey değişmiş, yeni tasarım süper olmuş",2017-02-02,123373,suredir gitmiyordum sey degismis yeni tasarm super olmus,Feb,12
289,f,1,service,Ilgili bir Yer fakat fiyatlar yüksek,2017-09-21,59301,ilgili yer fakat fiyatlar yuksek,Sep,6
291,f,0,price,Fahiş fiyat çekti kanaatimce,2017-09-28,80076,fahis fiyat cekti kanaatimce,Sep,4
292,f,1,service,Kalite süper hizmet süper ekipleri çok iyi,2017-11-02,87677,kalite super super ekipleri iyi,Nov,7
293,m,1,service,Sanat,2017-11-29,111066,sanat,Nov,1
298,m,0,price,"Okul yıllığı fotoğraf çekimleri için gittiğimiz stüdyo. Cadde üzerinde. Fakat özellikle arka planları hiç beğenmedik. Ayrıca seçtiğimiz fotolar, yıllığa verdiğimizden daha fazla tuttu.",2017-08-17,24427,okul yllg cekimleri gittigimiz studyo cadde uzerinde fakat ozellikle arka planlar hic begenmedik ayrca sectigimiz fotolar yllga verdigimizden fazla tuttu,Aug,28
299,f,1,service,Kendileriyle yaptigimiz cekimde gerek Erdem beyin ilgisinden gerekse de ortaya cikan sonuctan cok memnun kaldık. Fiyat/performans son derece iyi.,2017-07-27,50308,kendileriyle yaptigimiz cekimde gerek erdem beyin ilgisinden gerekse ortaya cikan sonuctan memnun kaldk fiyatperformans son derece iyi,Jul,21
300,f,1,service,Hızlı ve kaliteli. Teşekkürler.,2017-05-24,77655,hzl kaliteli tesekkurler,May,6
302,f,1,service,Fotoğrafa dair ne isterseniz güler yüzle bulabilirsiniz,2017-03-25,63000,fotografa dair isterseniz guler yuzle bulabilirsiniz,Mar,7
303,m,0,service,Hizmet hızı çok yavaş ,2017-06-27,51930,hz yavas,Jun,4
305,m,1,wedding,Düğün fotoğrafı için hem hesaplı hem kaliteli,2017-01-10,60198,dugun hesapl kaliteli,Jan,7
306,m,1,engagement,nişanımız sizin organizasyonunuz ve fotograf video cekimleriniz sayesinde çok güzel geçti çok memnun kaldik. Ekibiniz ve siz harikasınız Elinize emeğinize sağlık. Iyiki sizi tanıdım. Size ve ekibinize çok teşekkür ederim,2017-05-02,28878,nisanmz sizin organizasyonunuz video cekimleriniz sayesinde guzel gecti memnun kaldik ekibiniz harikasnz elinize emeginize saglk iyiki sizi tandm size ekibinize tesekkur,May,33
307,f,1,service,"Güler yüzlü,samimi, işinde profesyonel, gayet başarılı , gönül rahatlığı ile tüm fotoğraf işlemlerinizi yaptırabilirsiniz",2017-04-11,35972,guler yuzlu samimi isinde profesyonel gayet basarl gonul rahatlg tum islemlerinizi yaptrabilirsiniz,Apr,18
310,m,1,service,Zamaninda hizli ve kaliteli urun tesekkur ederim,2017-12-20,99223,zamaninda hizli kaliteli urun tesekkur,Dec,7
311,m,1,service,Güzel bir fotoğrafçı. Pahalı...,2017-08-05,83078,guzel fotografc pahal,Aug,6
312,m,1,service,Çekimler çok başarılı,2017-04-07,103404,cekimler basarl,Apr,3
313,m,1,service,Mobilize ve başarılı düğün fotoğrafları çekiyorlar..,2017-12-20,119246,mobilize basarl dugun cekiyorlar,Dec,6
314,m,0,service,Kimse hangi fotoğrafın hangi dosyada kayıtlı olduğundan haberdar değil,2017-06-27,51930,kimse hangi fotografn hangi dosyada kaytl oldugundan haberdar degil,Jun,9
315,m,1,service,"İşlerini titizlikle yapan bir yer, fiyatları gayet makul.",2017-04-27,73537,islerini titizlikle yapan yer fiyatlar gayet makul,Apr,10
317,m,1,service,Bugüne kadar gördüğüm en kaliteli adres,2017-08-23,59293,bugune kadar gordugum kaliteli adres,Aug,6
319,f,0,service,ilgi güzel ama çerceveler biraz pahalı,2017-01-04,110067,ilgi guzel cerceveler biraz pahal,Jan,6
320,m,1,service,"Zaman geçince akılda kalan güleryüz oluyor, yine geleceğim",2017-02-25,87875,zaman gecince aklda kalan guleryuz oluyor yine gelecegim,Feb,9
321,m,1,service,Mekan ve tasarım güzelliği yanında mesleki açıdan son derece iyi bir fotoğrafçı,2017-04-10,44645,mekan tasarm guzelligi yannda mesleki acdan son derece iyi fotografc,Apr,12
323,f,0,service,Biraz daha ilgili olunabilir,2017-02-12,88750,biraz ilgili olunabilir,Feb,4
324,m,0,service,Fena değil...,2017-05-17,110315,fena degil,May,3
325,m,1,wedding,Düğün fotoğrafçısı diyince akla ilk gelen isimlerdendir usta. Sorumluluk sahibi aynı zamanda çok iyi bir fotoğraf eğitmeni ve fotoğrafçıdır.Bir o kadar da mütevazıdır. Kesinlikle tavsiye ederim. Teşekkürler,2017-06-29,92543,dugun fotografcs diyince akla ilk gelen isimlerdendir usta sorumluluk sahibi ayn zamanda iyi egitmeni fotografcdr kadar mutevazdr kesinlikle tavsiye tesekkurler,Jun,30
326,f,1,service,Dört dörtlük esnaf,2017-01-18,119447,dort dortluk esnaf,Jan,3
327,f,1,facility,"Temizliklerini çok beğeniyorum, bu konuya çok dikkat ederim, burası çok itinalı",2017-02-13,118281,temizliklerini begeniyorum konuya dikkat bura itinal,Feb,13
328,m,1,service,"Dogumumda yanımda olan şahane ekip, çıkan güzel fotoğraflar sizi hiç bir zaman unutamicam çocuğumun 1 yaş çekiminde tekrar görüşmek uzere☺",2017-08-29,78072,dogumumda yanmda olan sahane ekip ckan guzel sizi hic zaman unutamicam cocugumun yas cekiminde tekrar gorusmek uzere,Aug,21
329,f,1,wedding,"Kendisiyle dügün fotografi cektirdik,bu ozel anlarimizi emanet ettigimiz icin cok memnun kaldik,ortaya gayet guzel fotograflar cikti.Kibarligi ve nezaketi icin de ayrica tesekkur ederim.",2017-06-29,71851,kendisiyle dugun fotografi cektirdik ozel anlarimizi emanet ettigimiz memnun kaldik ortaya gayet guzel cikti kibarligi nezaketi ayrica tesekkur,Jun,28
331,f,0,price,Çok pahalı,2017-03-26,80935,pahal,Mar,2
333,f,1,passport,Ben ilk defa vesikalık fotografimi cercevelettim. GULER YUZ VE MUTHİŞ İŞ ÇIKARTIYORLAR.,2017-03-24,47509,ben ilk vesikalk fotografimi cercevelettim guler yuz muthis is cikartiyorlar,Mar,14
334,m,0,service,Kalite çok iyi;fakat fiyatları astronomi geldi biraz.,2017-12-04,45503,kalite iyi fakat fiyatlar astronomi geldi biraz,Dec,10
335,m,0,service,Çok bekledim,2017-01-08,115956,bekledim,Jan,2
337,f,1,service,civarın en güzel en iyi en kaliteli fotoğraf stüdyosu herkeze tavsiye ederim biometrik fotoğraf üzerine genelde çalışıyorlar 3 dakikda teslim ediyorlar süper :),2017-08-19,65481,civarn guzel iyi kaliteli studyosu herkeze tavsiye biometrik uzerine genelde calsyorlar dakikda teslim ediyorlar super,Aug,24
338,m,1,service,"Kaliteli bir hizmet anlayışı, güler yüz👍 ",2017-04-20,91162,kaliteli anlays guler yuz,Apr,7
339,f,1,service,İlgi için teşekkürler.,2017-01-06,93924,ilgi tesekkurler,Jan,4
340,f,0,price,"Yüksek fiyat , düşük ilgi",2017-08-23,120799,yuksek fiyat dusuk ilgi,Aug,5
341,m,1,facility,Güzel bir mekan,2017-07-31,121243,guzel mekan,Jul,3
342,f,1,service,biraz pahalı ama kaliteli,2017-01-29,95442,biraz pahal kaliteli,Jan,4
343,m,1,service,Kalite tartışılmaz ama pahalı muhtemelen oda yerinden kaynaklıdır memnun kaldım,2017-07-05,89957,kalite tartslmaz pahal muhtemelen oda yerinden kaynakldr memnun kaldm,Jul,10
344,f,1,service,"Doğum anındaki verdiğiniz desteğin benim için tarifi yok, oğlumun her doğum gününde sizi anımsayacağım, en stresli animi en mutlu günüme dönüşürdünüz, fotoğraflar ve albümümüz harika olmuş, hersey için teşekkürler❤❤",2017-07-12,88555,dogum anndaki verdiginiz destegin benim tarifi yok oglumun dogum gununde sizi anmsayacagm stresli animi mutlu gunume donusurdunuz albumumuz harika olmus hersey tesekkurler,Jul,33
347,f,1,service,40 yıllık fotoğraf stüdyosu,2017-07-07,92817,yllk studyosu,Jul,4
348,m,1,service,Harikalar!,2017-12-20,38656,harikalar,Dec,2
351,f,1,service,"Kaliteli ve hızlı baskı, uygun fiyat. Tavsiye ederim... 😊",2017-12-17,28768,kaliteli hzl bask uygun fiyat tavsiye,Dec,12
352,m,0,service,Soyunma kabinleri minnacık ve az,2017-11-03,38073,soyunma kabinleri minnack,Nov,5
353,m,1,service,Kaliteli ve çalışmalari çok güzel tavsiye ederim😊,2017-04-21,74859,kaliteli calsmalari guzel tavsiye,Apr,7
354,m,0,service,Çok yoğun,2017-07-18,66417,yogun,Jul,2
355,m,1,service,"Düğünümüz için şilede dış çekimde birlikte çalıştığımız stüdyo oldu, ortaya çok güzel resimler çıktı, resimlere hayranlıkla bakıyoruz, düğün için fotoğraf çekimi düşünenlerin tereddüt etmeden tercih edecekleri yer burasi olmalı.",2017-06-13,50539,dugunumuz silede d cekimde birlikte calstgmz studyo oldu ortaya guzel resimler ckt resimlere hayranlkla bakyoruz dugun cekimi dusunenlerin tereddut etmeden tercih edecekleri yer burasi olmal,Jun,33
356,m,1,service,"Ben nikah , nişan ve düğün pozlarımin hepsinde tercih ettim oldukça memnun kaldık eşimle beraber herşey için tekrar teşekkür ederim...",2017-04-08,85334,ben nikah nisan dugun pozlarmin hepsinde tercih ettim oldukca memnun kaldk esimle beraber hersey tekrar tesekkur,Apr,21
358,m,1,service,Semtin en değerli fotoğrafçılarından :),2017-05-25,42872,semtin degerli fotografclarndan,May,6
360,f,1,art,"Sahibini tanırım yeniliklere çok meraklıdır, sürekli araştırı",2017-02-15,102396,sahibini tanrm yeniliklere merakldr surekli arastr,Feb,8
361,f,1,service,"Bilgi ,Tecrübe ve baskı kalitesi mükemmel artı olarak güler yüzlü olmaları her türlü resim baskı işinizde size alternatif aratmayacak işletme",2017-05-21,98367,bilgi tecrube bask kalitesi mukemmel art olarak guler yuzlu olmalar turlu resim bask isinizde size alternatif aratmayacak isletme,May,21
363,f,0,service,Dükkandan içeri giriyorum bir hoşgeldin demiyorlar,2017-02-13,86805,dukkandan iceri giriyorum hosgeldin demiyorlar,Feb,6
365,m,1,service,Dış çekimleriniz çok güzel tavisiye ediyorum size ve ekibinize çok teşekkür ediyorum iyi çalışmalar,2017-03-31,119097,d cekimleriniz guzel tavisiye ediyorum size ekibinize tesekkur ediyorum iyi calsmalar,Mar,14
366,f,1,service,Cok guler yuzlu ve cozumculer cok tesekkur ederim..👍,2017-08-28,99957,guler yuzlu cozumculer tesekkur,Aug,8
367,f,1,service,Tebrikler,2017-01-22,112557,tebrikler,Jan,1
368,f,1,service,güzel,2017-08-09,71934,guzel,Aug,1
369,f,1,service,"mankenli ürün konusunda çalışma yaptık.. İlgi, alaka ve profesyonelliğinize gerçekten teşekkür ederim.",2017-04-06,36736,mankenli urun konusunda calsma yaptk ilgi alaka profesyonelliginize gercekten tesekkur,Apr,14
370,m,1,service,Bol çeşit fotoğraf ve baskı çözümlerinde uzmanlik ve tecrübe,2017-07-07,56811,bol cesit bask cozumlerinde uzmanlik tecrube,Jul,9
371,m,0,service,Kalitesiz bir esnaf... Yalan söyledi ve bana göre bu orada fotoğraf çektirmeyi bırak bir daha adım atmayacağım ve önermeyeceğim bir yer. Fazlasıyla ilgisiz. Ufak bir işlem için bence müşteri kaybetmeye değmezdi. Hepsinden önemlisi insanlık göstererek rica reddedebilirdi. Ama tavırları hiç hoş değildi.,2017-03-20,36215,kalitesiz esnaf yalan soyledi bana gore orada cektirmeyi brak adm atmayacagm onermeyecegim yer fazlasyla ilgisiz ufak islem bence musteri kaybetmeye degmezdi hepsinden onemlisi insanlk gostererek rica reddedebilirdi tavrlar hic ho degildi,Mar,48
372,f,1,service,"profesyonel fotoğrafçı arıyorsanız,doğru adrestesiniz.Düğün,nişan,kına,sünnet,çocuk,doğum,moda,cast,ürün,gıda,katalog,mekan,mezuniyet,biyometrik vesikalık ve kişiye özel profesyonel fotoğraf çekimi ve kamera video çekimi hizmetleri.",2017-11-23,81585,profesyonel fotografc aryorsanz dogru adrestesiniz dugun nisan kna sunnet cocuk dogum moda cast urun gda katalog mekan mezuniyet biyometrik vesikalk kisiye ozel profesyonel cekimi kamera video cekimi hizmetleri,Nov,45
373,f,1,engagement,Kesinlikle düğünde tekrardan birlikte çalışacağız.,2017-09-29,79277,kesinlikle dugunde tekrardan birlikte calsacagz,Sep,6
374,f,1,service,Çok ve uygun fiyatla baskı yapan güzel bir dükkan. Üstelik de halen film banyosu ve baskısı da yapabiliyor. 75x100 cm ebadında baskı yapabiliyor. Şiddetle tavsiye ederim.,2017-12-14,50031,uygun fiyatla bask yapan guzel dukkan ustelik halen film banyosu basks yapabiliyor x cm ebadnda bask yapabiliyor siddetle tavsiye,Dec,30
375,m,1,service,"Biraz zaman sıkıntımız vardı. Söz verdikleri tarihe yetiştirdiler fotoğrafları, çok teşekkürler",2017-02-08,39365,biraz zaman skntmz vard soz verdikleri tarihe yetistirdiler tesekkurler,Feb,13
376,m,1,service,"Bence muhitin en iyi fotoğrafçısı, hem fiyatlar uygun, hem de hizmet iyi, fotoğraflar süper",2017-02-03,37047,bence muhitin iyi fotografcs fiyatlar uygun iyi super,Feb,17
377,m,1,service,Cok guzel fotoğrafları herkese tavsiye ederim,2017-12-21,65084,guzel herkese tavsiye,Dec,6
379,m,1,wedding,Düğünümüzde dış mekan çekimimizi burasıyla hallettik. Son derece memnun kaldık işlerinde oldukça profesyoneller.. Tüm ilgi ve alakalarından dolayı tekrar teşekkür ediyorum..,2017-11-25,102539,dugunumuzde d mekan cekimimizi burasyla hallettik son derece memnun kaldk islerinde oldukca profesyoneller tum ilgi alakalarndan dolay tekrar tesekkur ediyorum,Nov,22
380,m,1,service,"Herkese tavsiye ederim, çok iyi bir fotoğrafçı",2017-01-25,69320,herkese tavsiye iyi fotografc,Jan,8
381,m,1,service,bolge için en iyi çözüm... Gayet hızlı servis...,2017-09-19,83703,bolge iyi cozum gayet hzl servis,Sep,10
382,f,1,art,Sanat var,2017-01-02,52239,sanat var,Jan,2
385,m,1,service,Super bir yer cok ilgilendiler harika teşekkürler,2017-06-19,68877,super yer ilgilendiler harika tesekkurler,Jun,7
388,f,1,service,Gerçekten çok eğlenceli çok samimi bir çekimdi.Fotolar elimize kısa sürede ulaştı ve çok beğendik.Çok teşekkür ederiz.,2017-10-30,87396,gercekten eglenceli samimi cekimdi fotolar elimize ksa surede ulast begendik tesekkur ederiz,Oct,17
389,m,1,service,Geçen sefer hizmet daha iyiydi. Biraz bozmuşlar,2017-01-11,25827,gecen sefer iyiydi biraz bozmuslar,Jan,8
391,m,0,service,"İdare eder, photoshopu fazla ve yanlış uyguluyor resimlere. Sanki 90lı yılların sonundayız.",2017-04-20,89637,idare eder photoshopu fazla yanls uyguluyor resimlere l yllarn sonundayz,Apr,15
392,m,1,service,"çok memnun kaldım, herkese tavsiye ediyorum, çalışanları arkadaşları çok teşekkür ediyorum güzel fotoğraflar için!!!",2017-03-29,95729,memnun kaldm herkese tavsiye ediyorum calsanlar arkadaslar tesekkur ediyorum guzel,Mar,19
394,f,0,service,Fena değil,2017-09-27,80819,fena degil,Sep,2
396,m,1,service,"Öncelikle iş öncesinde iletişimi, dakikliği, işinin dışında da süreçte bize bizim işlerimizde bile yardımcı olması, konuştuklarımızın dışında (video çekimi gibi) ek hizmetler de sunması ve hepsinden öte profesyonelliği ile bizi memnun bıraktı. Kendisine teşekkür ediyoruz.",2017-10-27,110066,oncelikle is oncesinde iletisimi dakikligi isinin dsnda surecte bize bizim islerimizde bile yardmc olmas konustuklarmzn dsnda video cekimi ek hizmetler sunmas hepsinden ote profesyonelligi bizi memnun brakt kendisine tesekkur ediyoruz,Oct,42
397,m,1,engagement,"kış günü soğuk hava olmasına rağmen üşenmeden sizinle dış mekanda yine aynı sıcak gülümsemesiyle ortamı ısıtan, profesyonel şekilde yönlendiren, mükemmel fotoğraflar ve kareler yakalayan, daha sonraki süreçte profesyonelce ve samimi bir şekilde albümünüz için size yardımcı olan, sizin o çok özel gününüzü harika kılan ve bir ömür boyu o karelerle hatırlayacağınız mükemmel bir albüm hazırlayan fotoğrafçı..",2017-09-24,85679,k gunu soguk hava olmasna ragmen usenmeden sizinle d mekanda yine ayn scak gulumsemesiyle ortam stan profesyonel sekilde yonlendiren mukemmel kareler yakalayan sonraki surecte profesyonelce samimi sekilde albumunuz size yardmc olan sizin ozel gununuzu harika klan omur boyu karelerle hatrlayacagnz mukemmel album hazrlayan fotografc,Sep,60
398,m,1,wedding,"herşeyden önce gülen yüzünüz herşeye bedel, insanın en stresli gününde bile rahatlatıyor. Siz muhteşem bir fotoğrafçısınız, ellerinize emeğinize sağlık, iyiki sizi seçmişiz,",2017-05-02,94194,herseyden once gulen yuzunuz herseye bedel insann stresli gununde bile rahatlatyor muhtesem fotografcsnz ellerinize emeginize saglk iyiki sizi secmisiz,May,27
399,f,1,service,Çok süper olmuş,2017-01-06,93924,super olmus,Jan,3
400,f,0,service,"1 aylık saklama koşulunuz'u filminiz basıldıktan sonra fotoğrafları 1 ay sonra teslim almazsanız atılır diye yapıyorsunuz ve bıraktığım anda bana söylenen biz size mail ile göndereceğiz, basılmasını istediklerinizi söylersiniz o zaman basarız. teslim ettiğim hiçbir fotoğraf da basılmadı. mail öyle bozuk ki bilgisayarda açılmıyor, her gün bütün maillerimi kontrol edip 1 ay boyunca fotoğrafları atmalarını beklmemin nedeni bu. şans eseri telefonda açılanda ise sadece bozuk indirilemeyen dosyalar görünüyor. gönderilen mailin içindeki 32 bozuk dosyanın benim filmime ait olduğunu da kanıtlayamayacağınıza göre elinizdeki 32 bozuk dosyayı birine gönderip, filmi de geldiği gibi atmış olmanız oldukça muhtemel. çünkü ne filmi kanıt olarak gösterebiliyorsunuz, ne de fotoğrafları. oysa benim elimde ödediğime dair fiş ve ne olduğu belirsiz jpg dosyalarım var. para alıp doğru düzgün hizmet vermedikten sonra ama biz söylemiştik atacağımızı deyip üste çıkmaya çalışmanız da komik doğrusu..",2017-06-07,95973,aylk saklama kosulunuz u filminiz basldktan sonra ay sonra teslim almazsanz atlr yapyorsunuz braktgm anda bana soylenen size mail gonderecegiz baslmasn istediklerinizi soylersiniz zaman basarz teslim ettigim hicbir baslmad mail oyle bozuk bilgisayarda aclmyor gun butun maillerimi kontrol edip ay boyunca atmalarn beklmemin nedeni sans eseri telefonda aclanda sadece bozuk indirilemeyen dosyalar gorunuyor gonderilen mailin icindeki bozuk dosyann benim filmime ait oldugunu kantlayamayacagnza gore elinizdeki bozuk dosyay birine gonderip filmi geldigi atm olmanz oldukca muhtemel cunku filmi kant olarak gosterebiliyorsunuz oysa benim elimde odedigime dair fis oldugu belirsiz jpg dosyalarm var para alp dogru duzgun vermedikten sonra soylemistik atacagmz deyip uste ckmaya calsmanz komik dogrusu,Jun,148
402,f,1,wedding,Organizasyonun ilgin alakan mükemmeldi herşey için çok teşekkür ederim ,2017-05-08,23109,organizasyonun ilgin alakan mukemmeldi hersey tesekkur,May,9
403,m,1,service,Ürün fotoğraf çekimi yaptırdık işlerinde profesyoneller.,2017-11-27,31338,urun cekimi yaptrdk islerinde profesyoneller,Nov,7
404,f,1,service,Çok başarılı. Güzel. Ama fiyatlar yüksek,2017-08-24,66493,basarl guzel fiyatlar yuksek,Aug,8
405,f,1,service,İnanılmaz profesyoneller ve hizmet Harika,2017-01-04,93924,inanlmaz profesyoneller harika,Jan,5
406,f,0,service,Ürün güzel ama çok pahalı,2017-01-29,75444,urun guzel pahal,Jan,5
407,m,1,service,"Öyle bekleme, bugün git yarın gel yok. Fotoğrafınızı çektirip 10 dk içinde alıyorsunuz. Sadece arkadaşın ilk gidişimiz de direk sen'li konuşması garip geldi bana. Samimi olduğunu düşündüğüm için takımadım.",2017-08-09,108006,oyle bekleme bugun git yarn gel yok fotografnz cektirip dk icinde alyorsunuz sadece arkadasn ilk gidisimiz direk senli konusmas garip geldi bana samimi oldugunu dusundugum takmadm,Aug,34
408,m,1,service,bu semtte en iyi en profesyonel çekim yapan diyebilirim 20 yıla yakındır biliyorum ....,2017-03-15,80559,semtte iyi profesyonel cekim yapan diyebilirim yla yakndr biliyorum,Mar,15
409,m,1,wedding,"Düğün günümüzde sabahtan itibaren birlikteydik. Enerjisi çok güzel, işine çok özenli, ve elimize ulaşan fotoğraflar o kadar doğal ve güzel ki.. Yalnız fotoğraf çekmedi akıl etmediğimiz eksikleri bile tecrübesiyle kapattı.. Fotoğrafları görene kadar hatırlamadığım onca detay ve an gözünden kaçmamış ve hepsi en zarif şekilde belgelenmiş, basılı albüm için fotoğraf seçmekte çok zorlandık tek derdimiz bu oldu :) Tekrar çok, çok teşekkürler..",2017-10-08,84753,dugun gunumuzde sabahtan itibaren birlikteydik enerjisi guzel isine ozenli elimize ulasan kadar dogal guzel yalnz cekmedi akl etmedigimiz eksikleri bile tecrubesiyle kapatt gorene kadar hatrlamadgm onca detay an gozunden kacmams zarif sekilde belgelenmis basl album secmekte zorlandk tek derdimiz oldu tekrar tesekkurler,Oct,68
410,f,1,service,"Kaliteli, ilgili ve güler yüzlü bir işletme",2017-12-24,24080,kaliteli ilgili guler yuzlu isletme,Dec,8
411,f,1,service,teşekkür ederiz,2017-05-05,64816,tesekkur ederiz,May,2
412,f,1,art,İşlerini iyi yapıyorlar,2017-01-03,28907,islerini iyi yapyorlar,Jan,3
413,f,1,service,Hızlı cozum icin teşekkürler 🙏,2017-05-03,105454,hzl cozum tesekkurler,May,5
414,f,0,service,Fotoğrafçılık bir sanattır. Bilen kişiler yapmalıdır. Burada herkes yapıyor. Ayrıca gereksiz şekilde pahalı.,2017-05-30,107046,fotografclk sanattr bilen kisiler yapmaldr burada herkes yapyor ayrca gereksiz sekilde pahal,May,17
415,m,1,service,Güler yüzlü karşılaması ile bilgi vererek kaliteli hizmet. ürünleri çok güzel sorun çıkmıyor.,2017-07-08,112877,guler yuzlu karslamas bilgi vererek kaliteli urunleri guzel sorun ckmyor,Jul,15
416,f,0,service,Kazık fiyatlar kimsiye tavsiye etmem.,2017-06-03,94886,kazk fiyatlar kimsiye tavsiye etmem,Jun,6
417,m,0,service,"Bu kadar iyi yorum almasını hiç anlayamıyorum. Muhtemelen tanıdıklarına yazdırmışlardır. İlgi alaka sıfır, sadece bir tane fotoğraf çekip yolladı adam resmen ve baskı kalitesi çok kötü bildiğiniz 360p hayatta bir daha tercih etmiyeceğim yerlerden",2017-06-23,70072,kadar iyi yorum almasn hic anlayamyorum muhtemelen tandklarna yazdrmslardr ilgi alaka sfr sadece tane cekip yollad adam resmen bask kalitesi kotu bildiginiz p hayatta tercih etmiyecegim yerlerden,Jun,37
419,f,1,service,Tasviye ederim cok iyi fotoğrafci.Basarilar diliyorum,2017-11-16,29881,tasviye iyi fotografci basarilar diliyorum,Nov,6
420,m,1,service,Güzel cektiler,2017-08-03,115265,guzel cektiler,Aug,2
421,m,0,passport,Vesikalık için gidilebilir,2017-11-03,57340,vesikalk gidilebilir,Nov,3
423,f,1,service,Organize demek bu kadar önemliymiş yaptığınız fotoğraf ve video çekimleriniz harika bence 5 yıldız hakkınız,2017-04-29,112764,organize demek kadar onemliymis yaptgnz video cekimleriniz harika bence yldz hakknz,Apr,15
424,f,1,service,Her seferinde beni gülümsetiyorlar pişman olmak istemiyorsanız gerçekten güvenebilirsiniz,2017-08-27,120036,seferinde beni gulumsetiyorlar pisman olmak istemiyorsanz gercekten guvenebilirsiniz,Aug,9
425,f,1,service,Ilgili bilgili pahalı,2017-12-27,49055,ilgili bilgili pahal,Dec,3
426,m,1,service,"Ögrencilerimle yillik cekimlerimizi yaptigimiz yer. Çocuklarin bir suru fotogtafini cekiyorlar, sonra ailelerinizle birlikte begendiginiz fotograflari tanesi (20 TL diye biliyorum tam emin degilim) datin alıyorsunuz. Cektikleri fotograflar cok guzel.",2017-05-25,80235,ogrencilerimle yillik cekimlerimizi yaptigimiz yer cocuklarin suru fotogtafini cekiyorlar sonra ailelerinizle birlikte begendiginiz fotograflari tanesi tl biliyorum tam emin degilim datin alyorsunuz cektikleri guzel,May,35
427,m,0,service,"10-15 yıldır ara ara gider mutlu bir şekilde işlerimi hallederdim. Eskiden iyi bir esnaflardi, şuan iyi bir tüccarlar. Aynı çevrede benzer işi yapan esnafları tercih etmeye başladım... Buranın eski tadı tuzu kalmamış…",2017-06-08,56001,yldr ara ara gider mutlu sekilde islerimi hallederdim eskiden iyi esnaflardi suan iyi tuccarlar ayn cevrede benzer isi yapan esnaflar tercih etmeye basladm burann eski tad tuzu kalmams,Jun,36
