,sex,rating,product,review,review_date,reviewer_id,clean_text
291,f,1.0,price,Fahiş fiyat çekti kanaatimce,2017-09-28,80076,fahis fiyat cekti kanaatimce
292,f,5.0,service,Kalite süper hizmet süper ekipleri çok iyi,2017-11-02,87677,kalite super hizmet super ekipleri cok iyi
293,m,5.0,service,Sanat,2017-11-29,111066,sanat
298,m,3.0,price,"Okul yıllığı fotoğraf çekimleri için gittiğimiz stüdyo. Cadde üzerinde. Fakat özellikle arka planları hiç beğenmedik. Ayrıca seçtiğimiz fotolar, yıllığa verdiğimizden daha fazla tuttu.",2017-08-17,24427,okul yllg fotograf cekimleri icin gittigimiz studyo cadde uzerinde fakat ozellikle arka planlar hic begenmedik ayrca sectigimiz fotolar yllga verdigimizden fazla tuttu
299,f,5.0,service,Kendileriyle yaptigimiz cekimde gerek Erdem beyin ilgisinden gerekse de ortaya cikan sonuctan cok memnun kaldık. Fiyat/performans son derece iyi.,2017-07-27,50308,kendileriyle yaptigimiz cekimde gerek erdem beyin ilgisinden gerekse ortaya cikan sonuctan cok memnun kaldk fiyatperformans son derece iyi
300,f,5.0,service,Hızlı ve kaliteli. Teşekkürler.,2017-05-24,77655,hzl kaliteli tesekkurler
302,f,5.0,service,Fotoğrafa dair ne isterseniz güler yüzle bulabilirsiniz,2017-03-25,63000,fotografa dair isterseniz guler yuzle bulabilirsiniz
303,m,1.0,service,Hizmet hızı çok yavaş ,2017-06-27,51930,hizmet hz cok yavas
305,m,5.0,wedding,Düğün fotoğrafı için hem hesaplı hem kaliteli,2017-01-10,60198,dugun fotograf icin hesapl kaliteli
306,m,5.0,engagement,nişanımız sizin organizasyonunuz ve fotograf video cekimleriniz sayesinde çok güzel geçti çok memnun kaldik. Ekibiniz ve siz harikasınız Elinize emeğinize sağlık. Iyiki sizi tanıdım. Size ve ekibinize çok teşekkür ederim,2017-05-02,28878,nisanmz sizin organizasyonunuz fotograf video cekimleriniz sayesinde cok guzel gecti cok memnun kaldik ekibiniz harikasnz elinize emeginize saglk iyiki sizi tandm size ekibinize cok tesekkur ederim
307,f,5.0,service,"Güler yüzlü,samimi, işinde profesyonel, gayet başarılı , gönül rahatlığı ile tüm fotoğraf işlemlerinizi yaptırabilirsiniz",2017-04-11,35972,guler yuzlu samimi isinde profesyonel gayet basarl gonul rahatlg tum fotograf islemlerinizi yaptrabilirsiniz
310,m,5.0,service,Zamaninda hizli ve kaliteli urun tesekkur ederim,2017-12-20,99223,zamaninda hizli kaliteli urun tesekkur ederim
311,m,4.0,service,Güzel bir fotoğrafçı. Pahalı...,2017-08-05,83078,guzel bir fotografc pahal
312,m,5.0,service,Çekimler çok başarılı,2017-04-07,103404,cekimler cok basarl
313,m,5.0,service,Mobilize ve başarılı düğün fotoğrafları çekiyorlar..,2017-12-20,119246,mobilize basarl dugun fotograflar cekiyorlar
314,m,1.0,service,Kimse hangi fotoğrafın hangi dosyada kayıtlı olduğundan haberdar değil,2017-06-27,51930,kimse hangi fotografn hangi dosyada kaytl oldugundan haberdar degil
315,m,5.0,service,"İşlerini titizlikle yapan bir yer, fiyatları gayet makul.",2017-04-27,73537,islerini titizlikle yapan bir yer fiyatlar gayet makul
317,m,5.0,service,Bugüne kadar gördüğüm en kaliteli adres,2017-08-23,59293,bugune kadar gordugum kaliteli adres
319,f,3.0,service,ilgi güzel ama çerceveler biraz pahalı,2017-01-04,110067,ilgi guzel cerceveler biraz pahal
320,m,5.0,service,"Zaman geçince akılda kalan güleryüz oluyor, yine geleceğim",2017-02-25,87875,zaman gecince aklda kalan guleryuz oluyor yine gelecegim
321,m,5.0,service,Mekan ve tasarım güzelliği yanında mesleki açıdan son derece iyi bir fotoğrafçı,2017-04-10,44645,mekan tasarm guzelligi yannda mesleki acdan son derece iyi bir fotografc
323,f,2.0,service,Biraz daha ilgili olunabilir,2017-02-12,88750,biraz ilgili olunabilir
324,m,3.0,service,Fena değil...,2017-05-17,110315,fena degil
325,m,5.0,wedding,Düğün fotoğrafçısı diyince akla ilk gelen isimlerdendir usta. Sorumluluk sahibi aynı zamanda çok iyi bir fotoğraf eğitmeni ve fotoğrafçıdır.Bir o kadar da mütevazıdır. Kesinlikle tavsiye ederim. Teşekkürler,2017-06-29,92543,dugun fotografcs diyince akla ilk gelen isimlerdendir usta sorumluluk sahibi ayn zamanda cok iyi bir fotograf egitmeni fotografcdr bir kadar mutevazdr kesinlikle tavsiye ederim tesekkurler
326,f,5.0,service,Dört dörtlük esnaf,2017-01-18,119447,dort dortluk esnaf
327,f,5.0,facility,"Temizliklerini çok beğeniyorum, bu konuya çok dikkat ederim, burası çok itinalı",2017-02-13,118281,temizliklerini cok begeniyorum konuya cok dikkat ederim bura cok itinal
328,m,5.0,service,"Dogumumda yanımda olan şahane ekip, çıkan güzel fotoğraflar sizi hiç bir zaman unutamicam çocuğumun 1 yaş çekiminde tekrar görüşmek uzere☺",2017-08-29,78072,dogumumda yanmda olan sahane ekip ckan guzel fotograflar sizi hic bir zaman unutamicam cocugumun yas cekiminde tekrar gorusmek uzere
329,f,5.0,wedding,"Kendisiyle dügün fotografi cektirdik,bu ozel anlarimizi emanet ettigimiz icin cok memnun kaldik,ortaya gayet guzel fotograflar cikti.Kibarligi ve nezaketi icin de ayrica tesekkur ederim.",2017-06-29,71851,kendisiyle dugun fotografi cektirdik ozel anlarimizi emanet ettigimiz icin cok memnun kaldik ortaya gayet guzel fotograflar cikti kibarligi nezaketi icin ayrica tesekkur ederim
331,f,1.0,price,Çok pahalı,2017-03-26,80935,cok pahal
333,f,5.0,passport,Ben ilk defa vesikalık fotografimi cercevelettim. GULER YUZ VE MUTHİŞ İŞ ÇIKARTIYORLAR.,2017-03-24,47509,ben ilk vesikalk fotografimi cercevelettim guler yuz muthis is cikartiyorlar
334,m,3.0,service,Kalite çok iyi;fakat fiyatları astronomi geldi biraz.,2017-12-04,45503,kalite cok iyi fakat fiyatlar astronomi geldi biraz
335,m,1.0,service,Çok bekledim,2017-01-08,115956,cok bekledim
337,f,5.0,service,civarın en güzel en iyi en kaliteli fotoğraf stüdyosu herkeze tavsiye ederim biometrik fotoğraf üzerine genelde çalışıyorlar 3 dakikda teslim ediyorlar süper :),2017-08-19,65481,civarn guzel iyi kaliteli fotograf studyosu herkeze tavsiye ederim biometrik fotograf uzerine genelde calsyorlar dakikda teslim ediyorlar super
338,m,5.0,service,"Kaliteli bir hizmet anlayışı, güler yüz👍 ",2017-04-20,91162,kaliteli bir hizmet anlays guler yuz
339,f,5.0,service,İlgi için teşekkürler.,2017-01-06,93924,ilgi icin tesekkurler
340,f,2.0,price,"Yüksek fiyat , düşük ilgi",2017-08-23,120799,yuksek fiyat dusuk ilgi
341,m,5.0,facility,Güzel bir mekan,2017-07-31,121243,guzel bir mekan
342,f,4.0,service,biraz pahalı ama kaliteli,2017-01-29,95442,biraz pahal kaliteli
343,m,4.0,service,Kalite tartışılmaz ama pahalı muhtemelen oda yerinden kaynaklıdır memnun kaldım,2017-07-05,89957,kalite tartslmaz pahal muhtemelen oda yerinden kaynakldr memnun kaldm
344,f,5.0,service,"Doğum anındaki verdiğiniz desteğin benim için tarifi yok, oğlumun her doğum gününde sizi anımsayacağım, en stresli animi en mutlu günüme dönüşürdünüz, fotoğraflar ve albümümüz harika olmuş, hersey için teşekkürler❤❤",2017-07-12,88555,dogum anndaki verdiginiz destegin benim icin tarifi yok oglumun dogum gununde sizi anmsayacagm stresli animi mutlu gunume donusurdunuz fotograflar albumumuz harika olmus hersey icin tesekkurler
347,f,5.0,service,40 yıllık fotoğraf stüdyosu,2017-07-07,92817,yllk fotograf studyosu
348,m,5.0,service,Harikalar!,2017-12-20,38656,harikalar
351,f,5.0,service,"Kaliteli ve hızlı baskı, uygun fiyat. Tavsiye ederim... 😊",2017-12-17,28768,kaliteli hzl bask uygun fiyat tavsiye ederim
352,m,2.0,service,Soyunma kabinleri minnacık ve az,2017-11-03,38073,soyunma kabinleri minnack
353,m,5.0,service,Kaliteli ve çalışmalari çok güzel tavsiye ederim😊,2017-04-21,74859,kaliteli calsmalari cok guzel tavsiye ederim
354,m,3.0,service,Çok yoğun,2017-07-18,66417,cok yogun
355,m,5.0,service,"Düğünümüz için şilede dış çekimde birlikte çalıştığımız stüdyo oldu, ortaya çok güzel resimler çıktı, resimlere hayranlıkla bakıyoruz, düğün için fotoğraf çekimi düşünenlerin tereddüt etmeden tercih edecekleri yer burasi olmalı.",2017-06-13,50539,dugunumuz icin silede d cekimde birlikte calstgmz studyo oldu ortaya cok guzel resimler ckt resimlere hayranlkla bakyoruz dugun icin fotograf cekimi dusunenlerin tereddut etmeden tercih edecekleri yer burasi olmal
356,m,5.0,service,"Ben nikah , nişan ve düğün pozlarımin hepsinde tercih ettim oldukça memnun kaldık eşimle beraber herşey için tekrar teşekkür ederim...",2017-04-08,85334,ben nikah nisan dugun pozlarmin hepsinde tercih ettim oldukca memnun kaldk esimle beraber hersey icin tekrar tesekkur ederim
358,m,5.0,service,Semtin en değerli fotoğrafçılarından :),2017-05-25,42872,semtin degerli fotografclarndan
360,f,5.0,art,"Sahibini tanırım yeniliklere çok meraklıdır, sürekli araştırı",2017-02-15,102396,sahibini tanrm yeniliklere cok merakldr surekli arastr
361,f,5.0,service,"Bilgi ,Tecrübe ve baskı kalitesi mükemmel artı olarak güler yüzlü olmaları her türlü resim baskı işinizde size alternatif aratmayacak işletme",2017-05-21,98367,bilgi tecrube bask kalitesi mukemmel art olarak guler yuzlu olmalar turlu resim bask isinizde size alternatif aratmayacak isletme
363,f,1.0,service,Dükkandan içeri giriyorum bir hoşgeldin demiyorlar,2017-02-13,86805,dukkandan iceri giriyorum bir hosgeldin demiyorlar
365,m,5.0,service,Dış çekimleriniz çok güzel tavisiye ediyorum size ve ekibinize çok teşekkür ediyorum iyi çalışmalar,2017-03-31,119097,d cekimleriniz cok guzel tavisiye ediyorum size ekibinize cok tesekkur ediyorum iyi calsmalar
366,f,5.0,service,Cok guler yuzlu ve cozumculer cok tesekkur ederim..👍,2017-08-28,99957,cok guler yuzlu cozumculer cok tesekkur ederim
367,f,5.0,service,Tebrikler,2017-01-22,112557,tebrikler
368,f,5.0,service,güzel,2017-08-09,71934,guzel
369,f,5.0,service,"mankenli ürün konusunda çalışma yaptık.. İlgi, alaka ve profesyonelliğinize gerçekten teşekkür ederim.",2017-04-06,36736,mankenli urun konusunda calsma yaptk ilgi alaka profesyonelliginize gercekten tesekkur ederim
370,m,5.0,service,Bol çeşit fotoğraf ve baskı çözümlerinde uzmanlik ve tecrübe,2017-07-07,56811,bol cesit fotograf bask cozumlerinde uzmanlik tecrube
371,m,1.0,service,Kalitesiz bir esnaf... Yalan söyledi ve bana göre bu orada fotoğraf çektirmeyi bırak bir daha adım atmayacağım ve önermeyeceğim bir yer. Fazlasıyla ilgisiz. Ufak bir işlem için bence müşteri kaybetmeye değmezdi. Hepsinden önemlisi insanlık göstererek rica reddedebilirdi. Ama tavırları hiç hoş değildi.,2017-03-20,36215,kalitesiz bir esnaf yalan soyledi bana gore orada fotograf cektirmeyi brak bir adm atmayacagm onermeyecegim bir yer fazlasyla ilgisiz ufak bir islem icin bence musteri kaybetmeye degmezdi hepsinden onemlisi insanlk gostererek rica reddedebilirdi tavrlar hic ho degildi
372,f,5.0,service,"profesyonel fotoğrafçı arıyorsanız,doğru adrestesiniz.Düğün,nişan,kına,sünnet,çocuk,doğum,moda,cast,ürün,gıda,katalog,mekan,mezuniyet,biyometrik vesikalık ve kişiye özel profesyonel fotoğraf çekimi ve kamera video çekimi hizmetleri.",2017-11-23,81585,profesyonel fotografc aryorsanz dogru adrestesiniz dugun nisan kna sunnet cocuk dogum moda cast urun gda katalog mekan mezuniyet biyometrik vesikalk kisiye ozel profesyonel fotograf cekimi kamera video cekimi hizmetleri
373,f,5.0,engagement,Kesinlikle düğünde tekrardan birlikte çalışacağız.,2017-09-29,79277,kesinlikle dugunde tekrardan birlikte calsacagz
374,f,5.0,service,Çok ve uygun fiyatla baskı yapan güzel bir dükkan. Üstelik de halen film banyosu ve baskısı da yapabiliyor. 75x100 cm ebadında baskı yapabiliyor. Şiddetle tavsiye ederim.,2017-12-14,50031,cok uygun fiyatla bask yapan guzel bir dukkan ustelik halen film banyosu basks yapabiliyor x cm ebadnda bask yapabiliyor siddetle tavsiye ederim
375,m,5.0,service,"Biraz zaman sıkıntımız vardı. Söz verdikleri tarihe yetiştirdiler fotoğrafları, çok teşekkürler",2017-02-08,39365,biraz zaman skntmz vard soz verdikleri tarihe yetistirdiler fotograflar cok tesekkurler
376,m,5.0,service,"Bence muhitin en iyi fotoğrafçısı, hem fiyatlar uygun, hem de hizmet iyi, fotoğraflar süper",2017-02-03,37047,bence muhitin iyi fotografcs fiyatlar uygun hizmet iyi fotograflar super
377,m,5.0,service,Cok guzel fotoğrafları herkese tavsiye ederim,2017-12-21,65084,cok guzel fotograflar herkese tavsiye ederim
379,m,5.0,wedding,Düğünümüzde dış mekan çekimimizi burasıyla hallettik. Son derece memnun kaldık işlerinde oldukça profesyoneller.. Tüm ilgi ve alakalarından dolayı tekrar teşekkür ediyorum..,2017-11-25,102539,dugunumuzde d mekan cekimimizi burasyla hallettik son derece memnun kaldk islerinde oldukca profesyoneller tum ilgi alakalarndan dolay tekrar tesekkur ediyorum
380,m,5.0,service,"Herkese tavsiye ederim, çok iyi bir fotoğrafçı",2017-01-25,69320,herkese tavsiye ederim cok iyi bir fotografc
381,m,5.0,service,bolge için en iyi çözüm... Gayet hızlı servis...,2017-09-19,83703,bolge icin iyi cozum gayet hzl servis
382,f,5.0,art,Sanat var,2017-01-02,52239,sanat var
385,m,5.0,service,Super bir yer cok ilgilendiler harika teşekkürler,2017-06-19,68877,super bir yer cok ilgilendiler harika tesekkurler
388,f,5.0,service,Gerçekten çok eğlenceli çok samimi bir çekimdi.Fotolar elimize kısa sürede ulaştı ve çok beğendik.Çok teşekkür ederiz.,2017-10-30,87396,gercekten cok eglenceli cok samimi bir cekimdi fotolar elimize ksa surede ulast cok begendik cok tesekkur ederiz
389,m,4.0,service,Geçen sefer hizmet daha iyiydi. Biraz bozmuşlar,2017-01-11,25827,gecen sefer hizmet iyiydi biraz bozmuslar
391,m,2.0,service,"İdare eder, photoshopu fazla ve yanlış uyguluyor resimlere. Sanki 90lı yılların sonundayız.",2017-04-20,89637,idare eder photoshopu fazla yanls uyguluyor resimlere l yllarn sonundayz
392,m,5.0,service,"çok memnun kaldım, herkese tavsiye ediyorum, çalışanları arkadaşları çok teşekkür ediyorum güzel fotoğraflar için!!!",2017-03-29,95729,cok memnun kaldm herkese tavsiye ediyorum calsanlar arkadaslar cok tesekkur ediyorum guzel fotograflar icin
394,f,3.0,service,Fena değil,2017-09-27,80819,fena degil
396,m,5.0,service,"Öncelikle iş öncesinde iletişimi, dakikliği, işinin dışında da süreçte bize bizim işlerimizde bile yardımcı olması, konuştuklarımızın dışında (video çekimi gibi) ek hizmetler de sunması ve hepsinden öte profesyonelliği ile bizi memnun bıraktı. Kendisine teşekkür ediyoruz.",2017-10-27,110066,oncelikle is oncesinde iletisimi dakikligi isinin dsnda surecte bize bizim islerimizde bile yardmc olmas konustuklarmzn dsnda video cekimi ek hizmetler sunmas hepsinden ote profesyonelligi bizi memnun brakt kendisine tesekkur ediyoruz
397,m,5.0,engagement,"kış günü soğuk hava olmasına rağmen üşenmeden sizinle dış mekanda yine aynı sıcak gülümsemesiyle ortamı ısıtan, profesyonel şekilde yönlendiren, mükemmel fotoğraflar ve kareler yakalayan, daha sonraki süreçte profesyonelce ve samimi bir şekilde albümünüz için size yardımcı olan, sizin o çok özel gününüzü harika kılan ve bir ömür boyu o karelerle hatırlayacağınız mükemmel bir albüm hazırlayan fotoğrafçı..",2017-09-24,85679,k gunu soguk hava olmasna ragmen usenmeden sizinle d mekanda yine ayn scak gulumsemesiyle ortam stan profesyonel sekilde yonlendiren mukemmel fotograflar kareler yakalayan sonraki surecte profesyonelce samimi bir sekilde albumunuz icin size yardmc olan sizin cok ozel gununuzu harika klan bir omur boyu karelerle hatrlayacagnz mukemmel bir album hazrlayan fotografc
398,m,5.0,wedding,"herşeyden önce gülen yüzünüz herşeye bedel, insanın en stresli gününde bile rahatlatıyor. Siz muhteşem bir fotoğrafçısınız, ellerinize emeğinize sağlık, iyiki sizi seçmişiz,",2017-05-02,94194,herseyden once gulen yuzunuz herseye bedel insann stresli gununde bile rahatlatyor muhtesem bir fotografcsnz ellerinize emeginize saglk iyiki sizi secmisiz
399,f,5.0,service,Çok süper olmuş,2017-01-06,93924,cok super olmus
400,f,1.0,service,"1 aylık saklama koşulunuz'u filminiz basıldıktan sonra fotoğrafları 1 ay sonra teslim almazsanız atılır diye yapıyorsunuz ve bıraktığım anda bana söylenen biz size mail ile göndereceğiz, basılmasını istediklerinizi söylersiniz o zaman basarız. teslim ettiğim hiçbir fotoğraf da basılmadı. mail öyle bozuk ki bilgisayarda açılmıyor, her gün bütün maillerimi kontrol edip 1 ay boyunca fotoğrafları atmalarını beklmemin nedeni bu. şans eseri telefonda açılanda ise sadece bozuk indirilemeyen dosyalar görünüyor. gönderilen mailin içindeki 32 bozuk dosyanın benim filmime ait olduğunu da kanıtlayamayacağınıza göre elinizdeki 32 bozuk dosyayı birine gönderip, filmi de geldiği gibi atmış olmanız oldukça muhtemel. çünkü ne filmi kanıt olarak gösterebiliyorsunuz, ne de fotoğrafları. oysa benim elimde ödediğime dair fiş ve ne olduğu belirsiz jpg dosyalarım var. para alıp doğru düzgün hizmet vermedikten sonra ama biz söylemiştik atacağımızı deyip üste çıkmaya çalışmanız da komik doğrusu..",2017-06-07,95973,aylk saklama kosulunuz u filminiz basldktan sonra fotograflar ay sonra teslim almazsanz atlr yapyorsunuz braktgm anda bana soylenen size mail gonderecegiz baslmasn istediklerinizi soylersiniz zaman basarz teslim ettigim hicbir fotograf baslmad mail oyle bozuk bilgisayarda aclmyor gun butun maillerimi kontrol edip ay boyunca fotograflar atmalarn beklmemin nedeni sans eseri telefonda aclanda sadece bozuk indirilemeyen dosyalar gorunuyor gonderilen mailin icindeki bozuk dosyann benim filmime ait oldugunu kantlayamayacagnza gore elinizdeki bozuk dosyay birine gonderip filmi geldigi atm olmanz oldukca muhtemel cunku filmi kant olarak gosterebiliyorsunuz fotograflar oysa benim elimde odedigime dair fis oldugu belirsiz jpg dosyalarm var para alp dogru duzgun hizmet vermedikten sonra soylemistik atacagmz deyip uste ckmaya calsmanz komik dogrusu
401,f,5.0,service,5,2017-04-29,49416,
402,f,5.0,wedding,Organizasyonun ilgin alakan mükemmeldi herşey için çok teşekkür ederim ,2017-05-08,23109,organizasyonun ilgin alakan mukemmeldi hersey icin cok tesekkur ederim
403,m,5.0,service,Ürün fotoğraf çekimi yaptırdık işlerinde profesyoneller.,2017-11-27,31338,urun fotograf cekimi yaptrdk islerinde profesyoneller
404,f,4.0,service,Çok başarılı. Güzel. Ama fiyatlar yüksek,2017-08-24,66493,cok basarl guzel fiyatlar yuksek
405,f,5.0,service,İnanılmaz profesyoneller ve hizmet Harika,2017-01-04,93924,inanlmaz profesyoneller hizmet harika
406,f,3.0,service,Ürün güzel ama çok pahalı,2017-01-29,75444,urun guzel cok pahal
407,m,5.0,service,"Öyle bekleme, bugün git yarın gel yok. Fotoğrafınızı çektirip 10 dk içinde alıyorsunuz. Sadece arkadaşın ilk gidişimiz de direk sen'li konuşması garip geldi bana. Samimi olduğunu düşündüğüm için takımadım.",2017-08-09,108006,oyle bekleme bugun git yarn gel yok fotografnz cektirip dk icinde alyorsunuz sadece arkadasn ilk gidisimiz direk senli konusmas garip geldi bana samimi oldugunu dusundugum icin takmadm
408,m,5.0,service,bu semtte en iyi en profesyonel çekim yapan diyebilirim 20 yıla yakındır biliyorum ....,2017-03-15,80559,semtte iyi profesyonel cekim yapan diyebilirim yla yakndr biliyorum
409,m,5.0,wedding,"Düğün günümüzde sabahtan itibaren birlikteydik. Enerjisi çok güzel, işine çok özenli, ve elimize ulaşan fotoğraflar o kadar doğal ve güzel ki.. Yalnız fotoğraf çekmedi akıl etmediğimiz eksikleri bile tecrübesiyle kapattı.. Fotoğrafları görene kadar hatırlamadığım onca detay ve an gözünden kaçmamış ve hepsi en zarif şekilde belgelenmiş, basılı albüm için fotoğraf seçmekte çok zorlandık tek derdimiz bu oldu :) Tekrar çok, çok teşekkürler..",2017-10-08,84753,dugun gunumuzde sabahtan itibaren birlikteydik enerjisi cok guzel isine cok ozenli elimize ulasan fotograflar kadar dogal guzel yalnz fotograf cekmedi akl etmedigimiz eksikleri bile tecrubesiyle kapatt fotograflar gorene kadar hatrlamadgm onca detay an gozunden kacmams zarif sekilde belgelenmis basl album icin fotograf secmekte cok zorlandk tek derdimiz oldu tekrar cok cok tesekkurler
410,f,5.0,service,"Kaliteli, ilgili ve güler yüzlü bir işletme",2017-12-24,24080,kaliteli ilgili guler yuzlu bir isletme
411,f,5.0,service,teşekkür ederiz,2017-05-05,64816,tesekkur ederiz
412,f,5.0,art,İşlerini iyi yapıyorlar,2017-01-03,28907,islerini iyi yapyorlar
413,f,5.0,service,Hızlı cozum icin teşekkürler 🙏,2017-05-03,105454,hzl cozum icin tesekkurler
414,f,1.0,service,Fotoğrafçılık bir sanattır. Bilen kişiler yapmalıdır. Burada herkes yapıyor. Ayrıca gereksiz şekilde pahalı.,2017-05-30,107046,fotografclk bir sanattr bilen kisiler yapmaldr burada herkes yapyor ayrca gereksiz sekilde pahal
415,m,5.0,service,Güler yüzlü karşılaması ile bilgi vererek kaliteli hizmet. ürünleri çok güzel sorun çıkmıyor.,2017-07-08,112877,guler yuzlu karslamas bilgi vererek kaliteli hizmet urunleri cok guzel sorun ckmyor
416,f,1.0,service,Kazık fiyatlar kimsiye tavsiye etmem.,2017-06-03,94886,kazk fiyatlar kimsiye tavsiye etmem
417,m,1.0,service,"Bu kadar iyi yorum almasını hiç anlayamıyorum. Muhtemelen tanıdıklarına yazdırmışlardır. İlgi alaka sıfır, sadece bir tane fotoğraf çekip yolladı adam resmen ve baskı kalitesi çok kötü bildiğiniz 360p hayatta bir daha tercih etmiyeceğim yerlerden",2017-06-23,70072,kadar iyi yorum almasn hic anlayamyorum muhtemelen tandklarna yazdrmslardr ilgi alaka sfr sadece bir tane fotograf cekip yollad adam resmen bask kalitesi cok kotu bildiginiz p hayatta bir tercih etmiyecegim yerlerden
419,f,5.0,service,Tasviye ederim cok iyi fotoğrafci.Basarilar diliyorum,2017-11-16,29881,tasviye ederim cok iyi fotografci basarilar diliyorum
420,m,5.0,service,Güzel cektiler,2017-08-03,115265,guzel cektiler
421,m,3.0,passport,Vesikalık için gidilebilir,2017-11-03,57340,vesikalk icin gidilebilir
423,f,5.0,service,Organize demek bu kadar önemliymiş yaptığınız fotoğraf ve video çekimleriniz harika bence 5 yıldız hakkınız,2017-04-29,112764,organize demek kadar onemliymis yaptgnz fotograf video cekimleriniz harika bence yldz hakknz
424,f,5.0,service,Her seferinde beni gülümsetiyorlar pişman olmak istemiyorsanız gerçekten güvenebilirsiniz,2017-08-27,120036,seferinde beni gulumsetiyorlar pisman olmak istemiyorsanz gercekten guvenebilirsiniz
425,f,4.0,service,Ilgili bilgili pahalı,2017-12-27,49055,ilgili bilgili pahal
426,m,5.0,service,"Ögrencilerimle yillik cekimlerimizi yaptigimiz yer. Çocuklarin bir suru fotogtafini cekiyorlar, sonra ailelerinizle birlikte begendiginiz fotograflari tanesi (20 TL diye biliyorum tam emin degilim) datin alıyorsunuz. Cektikleri fotograflar cok guzel.",2017-05-25,80235,ogrencilerimle yillik cekimlerimizi yaptigimiz yer cocuklarin bir suru fotogtafini cekiyorlar sonra ailelerinizle birlikte begendiginiz fotograflari tanesi tl biliyorum tam emin degilim datin alyorsunuz cektikleri fotograflar cok guzel
427,m,1.0,service,"10-15 yıldır ara ara gider mutlu bir şekilde işlerimi hallederdim. Eskiden iyi bir esnaflardi, şuan iyi bir tüccarlar. Aynı çevrede benzer işi yapan esnafları tercih etmeye başladım... Buranın eski tadı tuzu kalmamış…",2017-06-08,56001,yldr ara ara gider mutlu bir sekilde islerimi hallederdim eskiden iyi bir esnaflardi suan iyi bir tuccarlar ayn cevrede benzer isi yapan esnaflar tercih etmeye basladm burann eski tad tuzu kalmams
428,m,1.0,service,Fotoğrafçılar cok kabalar ve ücretler konusunda hiç yardımcı değiller photoshoplari da çok kotu,2017-06-24,112955,fotografclar cok kabalar ucretler konusunda hic yardmc degiller photoshoplari cok kotu
432,f,5.0,art,Gelişmeleri iyi takip ediyorlar,2017-02-15,45933,gelismeleri iyi takip ediyorlar
433,f,5.0,price,"Bence ücretler çok uygun, hep böyle kalsın :)",2017-02-24,115596,bence ucretler cok uygun boyle kalsn
435,f,5.0,service,Mükemmel bir yer. Hizmet ve sanatın konuştuğu yer Başarılar dilerim...,2017-12-31,63124,mukemmel bir yer hizmet sanatn konustugu yer basarlar dilerim
436,m,5.0,service,"Kedimiz , köpeğimiz ve oğlumuzla doğumgünü çekimi yaptırdık ...sabırlarından ,anlayışlarından ve güzel fotoğraflar için tüm ekibe sonsuz teşekkürler 👏 👏 👏 👏 ",2017-09-15,121277,kedimiz kopegimiz oglumuzla dogumgunu cekimi yaptrdk sabrlarndan anlayslarndan guzel fotograflar icin tum ekibe sonsuz tesekkurler
439,m,5.0,engagement,Nişan ve düğün fotoğraflarımı çektirdim çok memnun kaldım,2017-10-30,29425,nisan dugun fotograflarm cektirdim cok memnun kaldm
442,f,1.0,camera,Aldığım fotoğraf makinesi kısa süre sonra bozuldu. İade almadılar. Benim hatam değil ki!,2017-01-22,83687,aldgm fotograf makinesi ksa sure sonra bozuldu iade almadlar benim hatam degil
444,f,3.0,service,"kaliteli bir yer fiyatlar biraz yüksek, güler yüzlü çalışanları var fakat stüdyo çekimi yapan arkadaş amatör çekim yapıyor çalışan değişimi olursa dört dörtlük mekan",2017-08-12,74957,kaliteli bir yer fiyatlar biraz yuksek guler yuzlu calsanlar var fakat studyo cekimi yapan arkadas amator cekim yapyor calsan degisimi olursa dort dortluk mekan
445,f,1.0,service,Okul yıllık fotoları çekiyorlar. Bir nevi tekel oluşturmuşlar. Bu sebeple çok kazık. Bir yıldızı bile haketmiyor.,2017-06-02,108084,okul yllk fotolar cekiyorlar bir nevus tekel olusturmuslar sebeple cok kazk bir yldz bile haketmiyor
446,f,5.0,service,Hizmeti ve kalitesi başarılı,2017-09-29,48367,hizmeti kalitesi basarl
447,m,5.0,service,Çekimini yaptırdığımız ürün fotoğrafları çok başarılı sizinle çalışmaktan çok memnun kaldık Kaliteli ve profesyonel bir ekipsiniz.,2017-11-28,75736,cekimini yaptrdgmz urun fotograflar cok basarl sizinle calsmaktan cok memnun kaldk kaliteli profesyonel bir ekipsiniz
449,m,1.0,price,Çok kazık,2017-07-26,41230,cok kazk
452,f,2.0,service,"Çalışanları pek soğuk , azcık güler yüz bekliyor insan doğrusu...",2017-01-02,75600,calsanlar pek soguk azck guler yuz bekliyor insan dogrusu
453,f,5.0,service,İşini en iyi şekilde yapan mükemmel bir Aile şirketi,2017-12-20,36573,isini iyi sekilde yapan mukemmel bir aile sirketi
454,f,5.0,service,"cok efendi bir esnaf, yardimsever ve bilgi veriyor.",2017-12-31,50544,cok efendi bir esnaf yardimsever bilgi veriyor
455,m,5.0,service,İşini bilen ve iyi yapan bir stüdyo. Genelde özel okulların tercih ettiği bir yer.,2017-09-14,57490,isini bilen iyi yapan bir studyo genelde ozel okullarn tercih ettigi bir yer
